comm_id,name,cntr_code,osm_id_commune,osm_name,osm_role_point,lon,lat,NUTS23_id,osm_id_NUTS23
FR3162270252,La Couture,FR,1170078,La Couture,admin_centre,2.712909,50.580187,FR302,7394
BE224020,Diest,BE,1172633,Diest,admin_centre,5.050028,50.984724,BE24,58004
FR3162230502,Lestrem,FR,1175376,Lestrem,admin_centre,2.686880,50.621866,FR302,7394
FR3162253489,Lapugnoy,FR,1175378,Lapugnoy,admin_centre,2.534200,50.520400,FR302,7394
FR3162105232,La Comté,FR,1175383,La Comté,admin_centre,2.499043,50.427123,FR302,7394
FR3162426521,La Loge,FR,1175388,La Loge,admin_centre,2.031768,50.410128,FR302,7394
FR3162253479,Labeuvrière,FR,1175389,Labeuvrière,admin_centre,2.563110,50.520376,FR302,7394
FR3162257480,Labourse,FR,1175391,Labourse,admin_centre,2.679865,50.497298,FR302,7394
FR3162344483,Lacres,FR,1175392,Lacres,admin_centre,1.761913,50.600977,FR302,7394
FR3162424492,Lebiez,FR,1175406,Lebiez,admin_centre,1.979346,50.468564,FR302,7394
FR3162791510,Liévin,FR,1175407,Liévin,admin_centre,2.773800,50.424500,FR302,7394
FR3162135484,Lagnicourt-Marcel,FR,1175408,Lagnicourt-Marcel,admin_centre,2.957066,50.158431,FR302,7394
FR3159416282,Hardifort,FR,117542,Hardifort,admin_centre,2.483747,50.818763,FR301,7400
FR3162523485,Laires,FR,1175448,Laires,admin_centre,2.255314,50.539137,FR302,7394
FR3162238486,Lambres,FR,1175458,Lambres,admin_centre,2.395999,50.617833,FR302,7394
FR3162109777,Le Sars,FR,1175496,Le Sars,admin_centre,2.781095,50.070592,FR302,7394
FR3162109829,Le Transloy,FR,1175503,Le Transloy,admin_centre,2.889628,50.058059,FR302,7394
FR3162534495,Ledinghem,FR,1175569,Ledinghem,admin_centre,1.988667,50.652450,FR302,7394
FR3162795498,Lens,FR,1175586,Lens,admin_centre,2.831980,50.429172,FR302,7394
FR3159460580,Steenvoorde,FR,117571,Steenvoorde,admin_centre,2.579173,50.810275,FR301,7400
FR3162344888,Wierre-au-Bois,FR,1176724,Wierre-au-Bois,admin_centre,1.762960,50.645164,FR302,7394
FR3162140877,Warlincourt-lès-Pas,FR,1176736,Warlincourt-lès-Pas,admin_centre,2.505313,50.174256,FR302,7394
FR3162146865,Vitry-en-Artois,FR,1176738,Vitry-en-Artois,admin_centre,2.979310,50.325900,FR302,7394
FR3162418501,Lespinoy,FR,1176743,Lespinoy,admin_centre,1.875142,50.429116,FR302,7394
FR3162263500,Lespesses,FR,1176744,Lespesses,admin_centre,2.422028,50.563281,FR302,7394
FR3162263508,Lières,FR,1176746,Lières,admin_centre,2.417038,50.554453,FR302,7394
FR3162238509,Liettres,FR,1176756,Liettres,admin_centre,2.342318,50.596368,FR302,7394
FR3162238512,Ligny-lès-Aire,FR,1176758,Ligny-lès-Aire,admin_centre,2.349206,50.557335,FR302,7394
FR3162238517,Linghem,FR,1176759,Linghem,admin_centre,2.371814,50.595558,FR302,7394
FR3162749523,Loison-sous-Lens,FR,1176776,Loison-sous-Lens,admin_centre,2.861810,50.444600,FR302,7394
